epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,16.124864,0.006312,0.035245,0.025521,0.127605,0.0005,fc+conv,cub
2,6.444159,0.006312,0.034719,0.025521,0.134411,0.0005,fc+conv,cub
3,6.300075,0.006839,0.045765,0.025521,0.135262,0.0005,fc+conv,cub
4,6.24553,0.012099,0.046817,0.028924,0.165036,0.0005,fc+conv,cub
5,6.203028,0.012625,0.065755,0.037431,0.184602,0.0005,fc+conv,cub
6,6.16052,0.014203,0.085218,0.042535,0.215228,0.0005,fc+conv,cub
7,6.094446,0.014203,0.090479,0.064653,0.301148,0.0005,fc+conv,cub
8,5.878854,0.018937,0.090479,0.065504,0.321991,0.0005,fc+conv,cub
9,5.638167,0.028406,0.137296,0.100808,0.367503,0.0005,fc+conv,cub
10,5.449564,0.051552,0.21515,0.14547,0.476818,0.0005,fc+conv,cub
11,5.166835,0.068385,0.263019,0.166738,0.498086,0.0005,fc+conv,cub
12,4.902153,0.087322,0.328248,0.166738,0.519353,0.0005,fc+conv,cub
13,4.675094,0.104682,0.387165,0.18205,0.538494,0.0005,fc+conv,cub
14,4.477807,0.134666,0.457654,0.209273,0.546576,0.0005,fc+conv,cub
15,4.276822,0.175697,0.498685,0.226712,0.544875,0.0005,fc+conv,cub
16,4.101214,0.179905,0.512362,0.231816,0.556359,0.0005,fc+conv,cub
17,3.996652,0.198843,0.53919,0.238197,0.560187,0.0005,fc+conv,cub
18,3.841371,0.234613,0.576539,0.232242,0.562739,0.0005,fc+conv,cub
19,3.711744,0.260915,0.611783,0.248405,0.560187,0.0005,fc+conv,cub
20,3.599943,0.294056,0.635981,0.248405,0.571672,0.0005,fc+conv,cub
21,3.452714,0.304577,0.665439,0.251382,0.5755,0.0005,fc+conv,cub
22,3.323164,0.318254,0.685429,0.253934,0.579328,0.0005,fc+conv,cub
23,3.268279,0.332983,0.705418,0.252658,0.578903,0.0005,fc+conv,cub
24,3.153865,0.347186,0.723304,0.254785,0.581455,0.0005,fc+conv,cub
25,3.07873,0.369279,0.731194,0.259039,0.597618,0.0005,fc+conv,cub
26,2.94819,0.396107,0.745397,0.261165,0.598043,0.0005,fc+conv,cub
27,2.790359,0.40768,0.763282,0.268396,0.604849,0.0005,fc+conv,cub
28,2.695732,0.418201,0.774329,0.279881,0.614632,0.0005,fc+conv,cub
29,2.649599,0.426092,0.78748,0.283709,0.616759,0.0005,fc+conv,cub
30,2.492497,0.438716,0.78748,0.290515,0.63037,0.0005,fc+conv,cub
31,2.41068,0.439243,0.805366,0.292216,0.626542,0.0005,fc+conv,cub
32,2.306366,0.45292,0.803261,0.298596,0.629945,0.0005,fc+conv,cub
33,2.298934,0.449763,0.813782,0.301574,0.643981,0.0005,fc+conv,cub
34,2.133742,0.462914,0.820095,0.307954,0.641855,0.0005,fc+conv,cub
35,2.057834,0.469753,0.826407,0.303701,0.637601,0.0005,fc+conv,cub
36,1.981802,0.479748,0.833246,0.306678,0.641855,0.0005,fc+conv,cub
37,1.926858,0.490794,0.831668,0.310932,0.64866,0.0005,fc+conv,cub
38,1.889503,0.496055,0.84061,0.310506,0.653339,0.0005,fc+conv,cub
39,1.749264,0.502367,0.843766,0.316461,0.653339,0.0005,fc+conv,cub
40,1.684748,0.503945,0.842188,0.311782,0.652488,0.0005,fc+conv,cub
41,1.622486,0.512362,0.828511,0.313909,0.653764,0.0005,fc+conv,cub
42,1.588832,0.503419,0.849027,0.310932,0.66057,0.0005,fc+conv,cub
43,1.495746,0.514466,0.843766,0.316036,0.656316,0.0005,fc+conv,cub
44,1.427604,0.516044,0.849027,0.308379,0.660145,0.0005,fc+conv,cub
45,1.356167,0.520252,0.845345,0.316886,0.662271,0.0005,fc+conv,cub
46,1.296104,0.528669,0.841136,0.311782,0.662271,0.0005,fc+conv,cub
47,1.257534,0.523409,0.841662,0.306678,0.66695,0.0005,fc+conv,cub
48,1.210665,0.524461,0.844819,0.31561,0.668226,0.0005,fc+conv,cub
49,1.157339,0.528669,0.848501,0.310506,0.663973,0.0005,fc+conv,cub
50,1.098508,0.521831,0.846397,0.312208,0.669928,0.0005,fc+conv,cub
51,1.15306,0.533403,0.84061,0.305402,0.661846,0.0005,fc+conv,cub
52,1.022784,0.530247,0.846923,0.309655,0.664823,0.0005,fc+conv,cub
53,0.959931,0.531299,0.840084,0.305402,0.660145,0.0005,fc+conv,cub
54,0.891909,0.526039,0.833772,0.301574,0.663973,0.0005,fc+conv,cub
55,0.856121,0.526565,0.826933,0.305827,0.662697,0.0005,fc+conv,cub
56,0.866383,0.529195,0.839558,0.307954,0.661421,0.0005,fc+conv,cub
57,0.825353,0.522357,0.839558,0.304977,0.655891,0.0005,fc+conv,cub
58,0.779239,0.527617,0.832194,0.301148,0.662271,0.0005,fc+conv,cub
59,0.722557,0.527091,0.836928,0.300298,0.660995,0.0005,fc+conv,cub
60,0.672349,0.529195,0.834298,0.298596,0.659719,0.0005,fc+conv,cub
61,0.633441,0.528143,0.836928,0.29732,0.650787,0.0005,fc+conv,cub
62,0.660185,0.526039,0.834298,0.300723,0.657593,0.0005,fc+conv,cub
63,0.631094,0.526565,0.824303,0.297746,0.655466,0.0005,fc+conv,cub
64,0.645728,0.53393,0.833772,0.293492,0.656316,0.0005,fc+conv,cub
65,0.576121,0.519726,0.821673,0.293917,0.654615,0.0005,fc+conv,cub
